PREFIX,TEMA,FIL,ID_FELT
AIN,andre_inntak,andre_inntak.jsonl,inntakNr
AUT,andre_utlop,andre_utlop.jsonl,OBJECTID
AVA,andre_vassdragsanlegg,andre_vassdragsanlegg.jsonl,vannAnleggNr
IDA,ikke_utbygd_dam,ikke_utbygd_dam.jsonl,damNr
IIN,ikke_utbygd_inntakspunkt,ikke_utbygd_inntakspunkt.jsonl,OBJECTID
IKV,ikke_utbygd_vannkraftverk,ikke_utbygd_vannkraftverk.jsonl,OBJECTID
IMA,ikke_utbygd_magasin,ikke_utbygd_magasin.jsonl,magasinNr
IVA,ikke_utbygd_vannvei,ikke_utbygd_vannvei.jsonl,OBJECTID
KHV,havvind,havvind.jsonl,ID
KLV,vindkraftverk,vindkraftverk.jsonl,anleggsNr
KSO,solkraftverk,solkraftverk.jsonl,anleggsNr
KVA,vannkraftverk,vannkraftverk.jsonl,vannkraftverkNr
VRM,varmeanlegg,varmeanlegg.jsonl,OBJECTID
VDA,dammer,dammer.jsonl,damNr
VIP,inntakspunkt,inntakspunkt.jsonl,OBJECTID
VMA,magasiner,magasiner.jsonl,magasinNr
VUP,utlopspunkt,utlopspunkt.jsonl,OBJECTID
VVE,vannveier,vannveier.jsonl,OBJECTID